,configuration,release,recall,precision,fpr,fscore,gscore,balance,accuracy,error,error_type1,error_type2,mcc,consistency,auc,auc_alberg,auc_roi,necm10,necm25,cost,nofb20,nofc80,bias_train,bias_train_processed,bias_test,ratio_bias,ratio_bias_processed,prop1_defect,prop1_clean,num_train,num_train_processed,num_test,diff,potential
623,3_Peters15,manifoldcf-2.2,0.78125,0.17123287671232876,0.1256490134994808,0.2808988764044944,0.8251827750445913,0.8216194558067043,0.871356783919598,0.12864321608040202,3.78125,0.007268951194184839,0.32688685599339495,0.7739810488058152,0.9186623831775701,0.0014089412935044724,0.5968692275593102,0.19195979899497487,0.2974874371859296,140403.0,9.0,131.0,0.03508771929824561,0.04228855721393035,0.032160804020100506,0.9165829145728644,0.7605084244753179,234.46875,36.440290758047766,969,804,995,1314.7459677419356,large
624,3_Peters15,manifoldcf-2.3,0.7567567567567568,0.2014388489208633,0.11326530612244898,0.3181818181818182,0.8166059772120887,0.8102682091022914,0.8820058997050148,0.11799410029498525,3.0,0.009183673469387756,0.3507535078715532,0.747573083287369,0.9020132377275234,0.00238995089115731,0.5805410838759564,0.1976401179941003,0.3303834808259587,139646.0,13.0,145.0,0.032160804020100506,0.03841536614645858,0.03638151425762045,1.1312377089478858,0.9470562930186824,202.8108108108108,35.80204081632653,995,833,1017,628.7624999999998,medium
625,3_Peters15,manifoldcf-2.4,0.8125,0.18055555555555555,0.1194331983805668,0.29545454545454547,0.8451651472126738,0.8428049955065178,0.8784313725490196,0.12156862745098039,3.6875,0.006072874493927126,0.3469726624904395,0.8064271255060729,0.9203251518218624,0.002336990444347939,0.6103141970232384,0.17450980392156862,0.2627450980392157,140063.0,12.0,127.0,0.03638151425762045,0.04215456674473068,0.03137254901960784,0.8623211446740859,0.7442265795206972,234.5,38.9251012145749,1017,854,1020,2515.804761904762,large
626,3_Peters15,manifoldcf-2.5,0.7857142857142857,0.15384615384615385,0.12185297079556898,0.2573099415204678,0.8293631922528208,0.8256920629480049,0.8756121449559255,0.12438785504407443,4.321428571428571,0.006042296072507553,0.3124033807437481,0.7796719896417782,0.9136095525823622,0.002313381783300474,0.584174956303707,0.1772771792360431,0.2654260528893242,140414.0,11.0,125.0,0.03137254901960784,0.037209302325581395,0.02742409402546523,0.8741429970617042,0.7370225269343781,268.0,39.318227593152066,1020,860,1021,1811.8901098901097,large
627,3_Peters15,manifoldcf-2.6,0.8076923076923077,0.1590909090909091,0.111,0.26582278481012656,0.8463979688987623,0.8429916427053801,0.8869395711500975,0.11306042884990253,4.269230769230769,0.005,0.3270182306398054,0.8026923076923077,0.9289807692307692,0.0022686833000262773,0.6454721985636884,0.15692007797270954,0.2300194931773879,122514.0,11.0,116.0,0.02742409402546523,0.032520325203252036,0.025341130604288498,0.9240462266778056,0.7792397660818712,288.61538461538464,41.735,1021,861,1026,6461.916666666666,large
628,5_Watanabe08,ant-ivy-2.3.0,0.46153846153846156,0.17142857142857143,0.06621004566210045,0.25000000000000006,0.6177470106985526,0.6163826134356367,0.9201773835920177,0.07982261640798226,2.230769230769231,0.01598173515981735,0.247221408326082,0.4455567263786442,0.7807341060765718,0.0043280195201566805,0.5474397166273911,0.21951219512195122,0.4523281596452328,17916.0,3.0,285.0,0.055408651114158644,0.055408651114158644,0.028824833702882482,0.5202226208953287,0.5202226208953287,87.23076923076923,8.833333333333334,131983,131983,451,-153.42857142857156,none
629,3_Peters15,manifoldcf-2.7,0.6666666666666666,0.07692307692307693,0.11869436201780416,0.13793103448275862,0.7591054313099042,0.7498006168213791,0.878167641325536,0.12183235867446393,8.0,0.004945598417408506,0.1977216087783149,0.6617210682492581,0.8665347840422024,0.0,0.5095623515223333,0.16569200779727095,0.2387914230019493,122280.0,3.0,167.0,0.025341130604288498,0.03009259259259259,0.014619883040935672,0.5769230769230769,0.48582995951417,500.26666666666665,43.78536102868447,1026,864,1026,1860.7142857142862,large
630,3_Peters15,manifoldcf-2.8,0.7916666666666666,0.1310344827586207,0.12389380530973451,0.22485207100591717,0.8317488392659738,0.8286050572917856,0.8741594620557157,0.12584053794428435,5.25,0.004916420845624385,0.2894388716663165,0.7867502458210422,0.9259464110127827,0.0,0.5348064693310527,0.1690682036503362,0.24111431316042267,141181.0,8.0,131.0,0.014619883040935672,0.017361111111111112,0.023054755043227664,1.5769452449567722,1.3279538904899133,312.6666666666667,36.76597836774828,1026,864,1041,-499.0769230769238,none
631,3_Peters15,manifoldcf-2.9,0.7692307692307693,0.072992700729927,0.12282398452611218,0.13333333333333333,0.8196647236907505,0.8151484797943318,0.8758357211079274,0.12416427889207259,9.76923076923077,0.0029013539651837525,0.21225448312719844,0.7663294152655855,0.9218122303228686,0.0,0.5221450430445983,0.14995224450811842,0.1929321872015282,140875.0,3.0,126.0,0.023054755043227664,0.026285714285714287,0.012416427889207259,0.5385625596943648,0.4723641044807109,577.2307692307693,42.09671179883946,1041,875,1047,4935.181818181818,large
632,3_Peters15,nutch-0.8,0.5714285714285714,0.1111111111111111,0.43986254295532645,0.18604651162790697,0.5657266811279826,0.5657463148786867,0.5611285266457681,0.438871473354232,4.571428571428571,0.041237113402061855,0.07481161062467961,0.5301914580265096,0.5600760922925871,0.007882320224981426,0.5289411512027492,0.7774294670846394,1.341692789968652,17837.0,10.0,284.0,0.04281345565749235,0.05263157894736842,0.0877742946708464,2.0501567398119125,1.6677115987460815,18.857142857142858,6.412371134020619,327,190,319,-272.5019607843137,none
